date,LOCATION_POSTAL_CODE,ORGANIZATION_ID,OCCUPANCY_RATE_BEDS,OCCUPANCY_RATE_ROOMS,SERVICE_USER_COUNT,CAPACITY_ACTUAL_BED,CAPACITY_ACTUAL_ROOM,postal_code,operator_registration_number,calculated_host_listings_count,price,minimum_nights,reviews_per_month,availability_365
2021-01-03,M6C 2R5,1,95.0,,19.0,20.0,,M6C,,,,,,
2021-01-03,M6E 4X3,1,93.75,,15.0,16.0,,M6E,,,,,,
2021-01-03,M6G 1M2,1,66.67,,8.0,12.0,,M6G,,,,,,
2021-01-03,M6G 2C4,1,73.33,,11.0,15.0,,M6G,,,,,,
2021-01-03,M6G 2N1,1,100.0,,35.0,35.0,,M6G,,,,,,
2021-01-03,M6G 3B1,1,,68.75,27.0,,16.0,M6G,,,,,,
2021-01-03,M6H 3Z5,1,91.67,,22.0,24.0,,M6H,,,,,,
2021-01-03,M6J 3M4,1,55.56,,5.0,9.0,,M6J,,,,,,
2021-01-03,M6K 1E9,1,100.0,,43.0,43.0,,M6K,,,,,,
2021-01-03,M6K 3C3,2,100.0,,82.5,82.5,,M6K,,,,,,
2021-01-03,M6N 3V7,1,100.0,,50.0,50.0,,M6N,,,,,,
2021-01-03,M6P 1Y5,1,100.0,,49.0,49.0,,M6P,,,,,,
2021-01-03,M6R 2K3,1,,97.56,40.0,,41.0,M6R,,,,,,
2021-01-03,M8Y 1A3,1,100.0,,18.0,18.0,,M8Y,,,,,,
2021-01-03,M9V 1P9,2,78.975,,11.0,14.0,,M9V,,,,,,
2021-01-03,M9V 2X6,2,100.0,,7.5,7.5,,M9V,,,,,,
2021-01-03,M9W 6P8,1,,100.0,152.0,,145.0,M9W,,,,,,
2021-01-04,L4L 8P5,1,,100.0,67.0,,51.0,L4L,,,,,,
2021-01-04,M1E 2M6,2,91.67,100.0,36.0,12.0,17.0,M1E,,,,,,
2021-01-04,M1E 2N8,1,,100.0,35.0,,17.0,M1E,,,,,,
2021-01-04,M1E 2P4,1,,76.0,26.0,,25.0,M1E,,,,,,
2021-01-04,M1E 2P9,2,,100.0,22.5,,11.0,M1E,,,,,,
2021-01-04,M1H 2X1,1,100.0,,37.0,37.0,,M1H,,,,,,
2021-01-04,M1H 2Z1,1,,100.0,133.0,,133.0,M1H,,,,,,
2021-01-04,M1K 1M2,1,100.0,,30.0,30.0,,M1K,,,,,,
2021-01-04,M1K 2B5,1,97.83,,45.0,46.0,,M1K,,,,,,
2021-01-04,M1L 4A1,2,98.275,,19.0,19.5,,M1L,,,,,,
2021-01-04,M1M 1M4,1,,96.97,64.0,,66.0,M1M,,,,,,
2021-01-04,M1M 1P8,1,92.42,,61.0,66.0,,M1M,,,,,,
2021-01-04,M1P 4V8,1,,98.15,165.0,,54.0,M1P,,,,,,
2021-01-04,M1T 3G2,3,,96.96999999999998,110.66666666666667,,98.66666666666667,M1T,,,,,,
2021-01-04,M2J 4R1,2,,96.75999999999999,125.5,,46.0,M2J,,,,,,
2021-01-04,M2J 4R2,2,,95.94,141.0,,130.5,M2J,,,,,,
2021-01-04,M2M 3S3,1,96.15,,25.0,26.0,,M2M,,,,,,
2021-01-04,M2M 3T3,2,97.14500000000001,,61.5,62.5,,M2M,,,,,,
