_id,operator_registration_number,postal_code,ward_number,ward_name
108732,STR-2203-FSXBHC,M2R,6.0,York Centre
108733,STR-2203-GRRBHG,M5V,10.0,Spadina-Fort York
108734,STR-2203-GYXBHH,M5J,10.0,Spadina-Fort York
108735,STR-2203-HQKBHK,M5J,10.0,Spadina-Fort York
108736,STR-2203-HXRBHL,M6J,10.0,Spadina-Fort York
108737,STR-2203-GJZPHF,M5A,13.0,Toronto Centre
108738,STR-2203-GZMPHH,M5V,10.0,Spadina-Fort York
108739,STR-2203-HYGPHL,M1C,25.0,Scarborough-Rouge Park
108740,STR-2203-FDSHHB,M5J,10.0,Spadina-Fort York
108741,STR-2203-FVFHHD,M5V,10.0,Spadina-Fort York
108742,STR-2203-GSYHHH,M1B,23.0,Scarborough North
108743,STR-2203-HYYHHM,M1G,24.0,Scarborough-Guildwood
108744,STR-2203-FMPVHC,M5B,13.0,Toronto Centre
108745,STR-2203-FVVVHD,M5J,10.0,Spadina-Fort York
108746,STR-2203-GDBVHF,M5J,10.0,Spadina-Fort York
108747,STR-2203-GLHVHG,M5V,10.0,Spadina-Fort York
108748,STR-2203-HKBVHK,M4M,14.0,Toronto-Danforth
108749,STR-2203-HZPVHM,M5J,10.0,Spadina-Fort York
108750,STR-2203-FPFHHC,M1K,20.0,Scarborough Southwest
108751,STR-2204-GLYHHG,M5V,10.0,Spadina-Fort York
108752,STR-2204-GVFHHH,M6R,4.0,Parkdale-High Park
108753,STR-2204-FPVVHC,M5R,11.0,University-Rosedale
108754,STR-2204-FXBVHD,M5V,10.0,Spadina-Fort York
108755,STR-2204-HLHVHK,M4E,19.0,Beaches-East York
108756,STR-2204-HTPVHL,M6H,9.0,Davenport
108757,STR-2204-JBVVHM,M2M,18.0,Willowdale
108758,STR-2204-FQLHHC,M2N,18.0,Willowdale
108759,STR-2204-FXSHHD,M2N,18.0,Willowdale
108760,STR-2204-FRBVHC,M4K,14.0,Toronto-Danforth
108761,STR-2204-FYHVHD,M3H,6.0,York Centre
108762,STR-2204-GXBVHH,M6G,11.0,University-Rosedale
108763,STR-2204-FRSHHC,M2M,18.0,Willowdale
108764,STR-2204-GQLHHG,M1S,22.0,Scarborough-Agincourt
108765,STR-2204-HFYHHJ,M6K,10.0,Spadina-Fort York
108766,STR-2204-FKBVHB,M5S,11.0,University-Rosedale
108767,STR-2204-GRBVHG,M6K,9.0,Davenport
108768,STR-2204-HXBVHL,M8W,3.0,Etobicoke-Lakeshore
108769,STR-2204-JFHVHM,M6B,8.0,Eglinton-Lawrence
